Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,3149,1.7266,0
1,3150,1.9942,1.726600051
2,3151,1.7284,3.720800042
3,3152,1.7348,5.449200034
4,3153,1.9058,7.184000015
5,3154,2.1368,9.0898
6,3155,1.8339,11.22660005
7,3156,2.1292,13.06050003
8,3157,1.9972,15.18970001
9,3158,1.825,17.18690002
10,3159,1.7546,19.01190007
11,3160,1.7381,20.76650012
12,3161,1.7735,22.50460017
13,3162,1.6927,24.27810013
14,3163,1.7687,25.97080016
15,3164,1.7799,27.73950016
16,3165,1.9562,29.51940012
17,3166,1.8708,31.47560012
18,3167,2.0491,33.34640014
19,3168,1.8409,35.39550006
20,3169,1.7609,37.23640001
21,3170,1.6996,38.99730003
22,3171,1.8436,40.69690001
23,3172,1.8379,42.54050004
24,3173,2.2126,44.37840009
25,3174,1.8132,46.59100008
26,3175,1.9328,48.40420008
27,3176,1.8113,50.33700013
28,3177,1.7254,52.14830017
29,3178,1.9792,53.87370014
30,3179,1.7826,55.85290015
31,3180,1.6725,57.63550019
32,3181,1.7349,59.30800021
33,3182,1.9317,61.0429002
34,3183,2.1166,62.9746002
35,3184,1.9275,65.09120023
36,3185,1.8498,67.01870024
37,3186,1.7082,68.86850023
38,3187,1.7922,70.57670021
39,3188,1.8868,72.36890018
40,3189,2.1002,74.25570023
41,3190,1.8935,76.35590017
42,3191,1.9986,78.24940014
43,3192,1.784,80.24800014
44,3193,1.808,82.03200018
45,3194,1.768,83.84000015
46,3195,1.7857,85.60800016
47,3196,2.2695,87.39370012
48,3197,1.8566,89.66320014
49,3198,1.9725,91.51980019
50,3199,2.4243,93.49230015
51,3200,2.6025,95.91660011
52,3201,2.1936,98.51910007
53,3202,2.1936,100.7127
54,3203,2.2923,102.9062999
55,3204,2.0104,105.1985999
56,3205,2.0245,107.209
57,3206,2.0366,109.2334999
58,3207,2.2936,111.2701
59,3208,2.4329,113.5637001
60,3209,1.9409,115.9966
61,3210,1.9969,117.9375
62,3211,2.8869,119.9344
63,3212,4.0462,122.8212999
64,3213,3.1786,126.8674997
65,3214,2.2087,130.0460998
66,3215,1.9378,132.2547997
67,3216,2.6524,134.1925998
68,3217,2.1545,136.8449998
69,3218,1.7551,138.9994998
70,3219,1.9688,140.7545998
71,3220,1.9301,142.7233998
72,3221,2.1141,144.6534997
73,3222,2.5343,146.7675997
74,3223,1.9044,149.3018998
75,3224,2.033,151.2062998
76,3225,2.0451,153.2392998
77,3226,1.819,155.2843997
78,3227,1.7529,157.1033998
79,3228,2.1322,158.8562998
80,3229,2.6291,160.9884998
81,3230,1.8706,163.6175998
82,3231,1.9157,165.4881998
83,3232,1.769,167.4038998
84,3233,1.9905,169.1728998
85,3234,1.9903,171.1633998
86,3235,2.0541,173.1536998
87,3236,2.0086,175.2077998
88,3237,1.7995,177.2163998
89,3238,2.4431,179.0158998
90,3239,1.7905,181.4589998
91,3240,1.751,183.2494998
92,3241,1.8854,185.0004998
93,3242,1.8814,186.8858998
94,3243,1.8852,188.7672998
95,3244,1.7384,190.6524998
96,3245,1.7717,192.3908998
97,3246,2.1792,194.1625998
98,3247,2.2984,196.3417997
99,3248,2.009,198.6401997
100,3249,1.8284,200.6491997
101,3250,2.0079,202.4775997
102,3251,1.9327,204.4854997
103,3252,1.7756,206.4181998
104,3253,1.7088,208.1937997
105,3254,1.6914,209.9025997
106,3255,1.813,211.5939997
107,3256,2.0678,213.4069997
108,3257,1.8134,215.4747998
109,3258,1.8519,217.2881998
110,3259,1.8121,219.1400998
111,3260,1.8662,220.9521998
112,3261,1.8584,222.8183998
113,3262,1.6817,224.6767998
114,3263,1.9205,226.3584998
115,3264,1.9082,228.2789998
116,3265,1.7882,230.1871998
117,3266,1.7335,231.9753999
118,3267,2.4015,233.7088999
119,3268,1.917,236.1103998
120,3269,1.7083,238.0273998
121,3270,2.0577,239.7356998
122,3271,1.8367,241.7933997
123,3272,1.6669,243.6300997
124,3273,2.4591,245.2969997
125,3274,1.7963,247.7560997
126,3275,1.8529,249.5523998
127,3276,2.2444,251.4052998
128,3277,1.9337,253.6496998
129,3278,1.7568,255.5833998
130,3279,2.1143,257.3401997
131,3280,1.7382,259.4544997
132,3281,1.7706,261.1926997
133,3282,2.2582,262.9632996
134,3283,1.9649,265.2214996
135,3284,1.9648,267.1863996
136,3285,2.1532,269.1511996
137,3286,1.7627,271.3043995
138,3287,2.1366,273.0670995
139,3288,1.7772,275.2036995
140,3289,1.7715,276.9808995
141,3290,2.9482,278.7523994
142,3291,2.0049,281.7005994
143,3292,1.7283,283.7054994
144,3293,1.7728,285.4337994
145,3294,1.8136,287.2065994
146,3295,1.9357,289.0201993
147,3296,1.9385,290.9558992
148,3297,2.1967,292.8943993
149,3298,2.0159,295.0910994
150,3299,5.2169,297.1069993
151,3300,12.672,302.3238991
152,3301,2.2376,314.9958991
153,3302,1.8023,317.2334992
154,3303,2.0255,319.0357991
155,3304,1.8999,321.0612992
156,3305,1.88,322.9611992
157,3306,1.7379,324.8411992
158,3307,1.6838,326.5790992
159,3308,1.9069,328.2628992
160,3309,2.0154,330.1697992
161,3310,1.857,332.1851991
162,3311,2.2704,334.0421991
163,3312,2.0153,336.3125992
164,3313,1.7266,338.3278992
165,3314,1.6819,340.0544993
166,3315,1.8864,341.7363993
167,3316,1.8341,343.6227993
168,3317,2.3357,345.4568993
169,3318,1.9158,347.7925993
170,3319,1.8506,349.7083993
171,3320,2.03,351.5589993
172,3321,2.1552,353.5889993
173,3322,1.8275,355.7441993
174,3323,1.7542,357.5716993
175,3324,2.3753,359.3258992
176,3325,1.8759,361.7011992
177,3326,1.8135,363.5770992
178,3327,1.7879,365.3905993
179,3328,1.876,367.1784992
180,3329,1.8465,369.0544993
181,3330,1.9637,370.9009993
182,3331,2.0732,372.8646992
183,3332,1.9516,374.9378992
184,3333,2.0354,376.8894992
185,3334,2.5756,378.9248991
186,3335,1.9982,381.500499
187,3336,2.2209,383.4986989
188,3337,1.8234,385.719599
189,3338,1.8616,387.542999
190,3339,1.8418,389.4045991
191,3340,1.9923,391.246399
192,3341,2.5391,393.2386991
193,3342,2.4208,395.777799
194,3343,1.7252,398.198599
195,3344,1.7504,399.9237989
196,3345,1.7797,401.6741989
197,3346,1.9578,403.4538989
198,3347,2.0151,405.4116989
199,3348,1.9124,407.4267989
200,3349,1.7674,409.3391989
201,3350,1.9495,411.106599
202,3351,2.3575,413.0560989
203,3352,2.3252,415.413599
204,3353,1.8609,417.7387991
205,3354,1.7177,419.5996991
206,3355,1.7352,421.3173991
207,3356,1.8074,423.0525992
208,3357,1.7775,424.8599992
209,3358,1.9271,426.6374992
210,3359,1.8783,428.5645992
211,3360,1.8244,430.4428991
212,3361,1.6962,432.2672991
213,3362,2.0167,433.9634991
214,3363,1.9004,435.9801991
215,3364,2.2326,437.8805991
216,3365,2.3662,440.1131991
217,3366,1.988,442.4793991
218,3367,2.0677,444.4673991
219,3368,2.2118,446.535099
220,3369,6.2812,448.7468991
221,3370,2.6169,455.0280991
222,3371,2.1437,457.644999
223,3372,2.1232,459.7886989
224,3373,2.3247,461.9118989
225,3374,2.3581,464.2365987
226,3375,1.8626,466.5946987
227,3376,1.8471,468.4572986
228,3377,2.1636,470.3043987
229,3378,1.9728,472.4679986
230,3379,2.2289,474.4407986
231,3380,1.9136,476.6696986
232,3381,2.3285,478.5832986
233,3382,1.9726,480.9117986
234,3383,1.8184,482.8843986
235,3384,1.7311,484.7027986
236,3385,1.9784,486.4338986
237,3386,2.0088,488.4122986
238,3387,1.9502,490.4210986
239,3388,1.7533,492.3712986
240,3389,2.0019,494.1245985
241,3390,2.03,496.1264985
242,3391,1.9246,498.1564984
243,3392,1.8408,500.0810984
244,3393,1.9592,501.9218985
245,3394,1.7597,503.8810985
246,3395,1.7299,505.6407984
247,3396,1.9411,507.3706985
248,3397,2.0048,509.3117985
249,3398,2.0254,511.3165985
250,3399,2.2033,513.3419985
251,3400,1.8532,515.5452985
252,3401,1.7551,517.3984984
253,3402,7.6472,519.1535984
254,3403,2.8268,526.8007985
255,3404,3.2967,529.6275986
256,3405,2.2236,532.9242986
257,3406,1.8609,535.1478986
258,3407,1.7632,537.0087986
259,3408,1.7116,538.7719986
260,3409,1.8407,540.4835986
261,3410,1.8154,542.3242986
262,3411,1.951,544.1396986
263,3412,2.7506,546.0906986
264,3413,1.8871,548.8412987
265,3414,1.7162,550.7283987
266,3415,1.9466,552.4445987
267,3416,1.9453,554.3911986
268,3417,1.7885,556.3364986
269,3418,1.7323,558.1249986
270,3419,1.7583,559.8572986
271,3420,1.779,561.6155986
272,3421,2.6031,563.3945986
273,3422,1.8134,565.9976987
274,3423,1.7511,567.8110987
275,3424,1.7604,569.5621986
276,3425,1.908,571.3225986
277,3426,2.1937,573.2305986
278,3427,1.8478,575.4242986
279,3428,1.835,577.2720987
280,3429,2.8154,579.1070987
281,3430,1.8619,581.9224986
282,3431,1.7312,583.7843986
283,3432,1.8514,585.5155985
284,3433,1.7153,587.3669986
285,3434,1.6627,589.0822985
286,3435,2.3433,590.7449985
287,3436,2.4024,593.0882986
288,3437,2.0016,595.4906986
289,3438,1.7773,597.4922986
290,3439,1.6869,599.2695986
291,3440,1.7242,600.9564986
292,3441,1.681,602.6806986
293,3442,1.6859,604.3616986
294,3443,1.7588,606.0475986
295,3444,2.2195,607.8063986
296,3445,2.3314,610.0258987
297,3446,2.1194,612.3572986
298,3447,6.8591,614.4766986
