Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,7300,0.786834,0
1,7301,0.911042,0.786834002
2,7302,0.889583,1.697875977
3,7303,0.781084,2.587458968
4,7304,0.732791,3.368542969
5,7305,0.908917,4.101333976
6,7306,0.673667,5.010250986
7,7307,0.796708,5.683917999
8,7308,0.774959,6.480625987
9,7309,0.839917,7.255585015
10,7310,1.058291,8.095502019
11,7311,0.86675,9.153792977
12,7312,0.821667,10.02054298
13,7313,0.752708,10.84220999
14,7314,0.779834,11.59491801
15,7315,0.824125,12.37475199
16,7316,0.780958,13.19887698
17,7317,0.734167,13.97983497
18,7318,0.778792,14.71400195
19,7319,0.808,15.49279398
20,7320,0.776458,16.30079395
21,7321,1.005958,17.07725197
22,7322,0.711542,18.08320993
23,7323,0.812583,18.79475194
24,7324,0.782458,19.60733491
25,7325,0.792167,20.38979292
26,7326,0.816375,21.18195993
27,7327,0.76875,21.99833494
28,7328,0.823209,22.76708496
29,7329,0.78025,23.59029394
30,7330,1.020208,24.37054396
31,7331,0.771916,25.39075196
32,7332,0.81625,26.16266793
33,7333,0.728209,26.97891796
34,7334,0.869958,27.70712698
35,7335,0.843375,28.57708496
36,7336,0.7815,29.42045999
37,7337,0.756167,30.20195997
38,7338,0.849875,30.95812696
39,7339,0.810667,31.80800194
40,7340,0.766208,32.61866891
41,7341,0.884792,33.38487691
42,7342,0.835417,34.26966888
43,7343,0.821,35.10508585
44,7344,0.780959,35.92608583
45,7345,0.700791,36.70704484
46,7346,0.859209,37.40783584
47,7347,0.728583,38.26704484
48,7348,0.771875,38.99562782
49,7349,0.816625,39.76750284
50,7350,0.764708,40.58412784
51,7351,0.881917,41.34883583
52,7352,0.95,42.23075283
53,7353,0.817833,43.18075281
54,7354,0.797166,43.99858582
55,7355,0.79525,44.79575181
56,7356,0.818458,45.59100181
57,7357,0.649208,46.40945983
58,7358,0.865709,47.05866784
59,7359,0.980958,47.92437685
60,7360,0.771625,48.90533483
61,7361,0.717084,49.67695981
62,7362,0.804333,50.3940438
63,7363,0.8875,51.19837677
64,7364,0.802334,52.08587676
65,7365,0.694542,52.88821077
66,7366,0.894458,53.58275276
67,7367,0.821333,54.47721076
68,7368,0.692292,55.29854375
69,7369,0.905791,55.99083573
70,7370,0.696417,56.89662671
71,7371,0.99125,57.59304368
72,7372,0.794084,58.58429366
73,7373,0.80275,59.37837768
74,7374,0.82375,60.18112767
75,7375,0.760333,61.00487769
76,7376,0.83525,61.76521069
77,7377,0.787375,62.60046071
78,7378,0.812709,63.38783568
79,7379,0.672458,64.20054466
80,7380,0.954167,64.87300265
81,7381,0.747083,65.82716966
82,7382,0.722334,66.57425267
