Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,2593,1.7196,0
1,2594,1.6924,1.719599962
2,2595,1.7023,3.411999941
3,2596,1.8247,5.114299893
4,2597,1.8167,6.938999891
5,2598,1.7117,8.755699873
6,2599,1.8742,10.46739984
7,2600,1.85,12.34159982
8,2601,2.1815,14.19159985
9,2602,1.7701,16.3730998
10,2603,1.7157,18.1431998
11,2604,1.7873,19.85889983
12,2605,1.6828,21.64619982
13,2606,1.812,23.32899988
14,2607,1.9096,25.14099991
15,2608,5.2576,27.05059993
16,2609,5.5377,32.30819976
17,2610,11.3176,37.84589994
18,2611,6.0787,49.16350019
19,2612,4.499,55.24220026
20,2613,3.9767,59.74120033
21,2614,3.6654,63.7179004
22,2615,3.0219,67.38330042
23,2616,3.0736,70.40520036
24,2617,1.9723,73.47880042
25,2618,2.7549,75.45110047
26,2619,1.9492,78.20600045
27,2620,2.1059,80.15520048
28,2621,1.7579,82.26110053
29,2622,1.8363,84.01900053
30,2623,1.9689,85.85530055
31,2624,1.8081,87.82420051
32,2625,1.8636,89.6323005
33,2626,1.738,91.49590051
34,2627,2.0121,93.23390055
35,2628,1.7064,95.24600053
36,2629,2.2663,96.95240057
37,2630,1.7287,99.21870053
38,2631,1.7489,100.9474006
39,2632,1.9125,102.6963005
40,2633,1.7199,104.6088005
41,2634,1.7221,106.3287005
42,2635,1.7253,108.0508006
43,2636,1.749,109.7761005
44,2637,1.6859,111.5251005
45,2638,2.3795,113.2110004
46,2639,1.7129,115.5905004
47,2640,1.8877,117.3034004
48,2641,1.8376,119.1911004
49,2642,1.8033,121.0287004
50,2643,1.8158,122.8320004
51,2644,1.8365,124.6478003
52,2645,1.8249,126.4843004
53,2646,1.731,128.3092004
54,2647,2.5533,130.0402004
55,2648,1.7851,132.5935003
56,2649,2.0321,134.3786002
57,2650,1.8556,136.4107002
58,2651,1.8674,138.2663002
59,2652,1.8004,140.1337003
60,2653,1.7423,141.9341003
61,2654,1.8773,143.6764003
62,2655,1.8996,145.5537003
63,2656,2.2697,147.4533004
64,2657,1.8569,149.7230004
65,2658,1.6757,151.5799004
66,2659,2.0578,153.2556003
67,2660,1.7581,155.3134004
68,2661,1.6369,157.0715004
69,2662,1.87,158.7084004
70,2663,1.9946,160.5784004
71,2664,1.942,162.5730003
72,2665,2.3441,164.5150003
73,2666,1.7086,166.8591003
74,2667,2.852,168.5677004
75,2668,1.793,171.4197004
76,2669,2.7749,173.2127004
77,2670,1.9589,175.9876003
78,2671,1.63,177.9465003
79,2672,2.4389,179.5765003
80,2673,1.7558,182.0154003
81,2674,1.7611,183.7712003
82,2675,1.8236,185.5323004
83,2676,2.1058,187.3559004
84,2677,1.7115,189.4617003
85,2678,1.8754,191.1732004
86,2679,1.9652,193.0486003
87,2680,1.8863,195.0138003
88,2681,2.1955,196.9001002
89,2682,1.7878,199.0956001
90,2683,1.8071,200.8834001
91,2684,1.9098,202.6905
92,2685,1.8502,204.6003001
93,2686,1.8067,206.4505
94,2687,1.682,208.2572
95,2688,1.7343,209.9392
96,2689,1.7605,211.6735001
97,2690,2.4921,213.434
98,2691,1.7574,215.9261
99,2692,1.7681,217.6835001
100,2693,1.7933,219.4516001
101,2694,1.6313,221.2449001
102,2695,1.8264,222.8762001
103,2696,1.7878,224.7026001
104,2697,1.8012,226.4904001
105,2698,1.894,228.2916001
106,2699,2.2041,230.1856002
107,2700,1.8652,232.3897001
108,2701,2.2667,234.2549001
109,2702,1.6858,236.5216001
110,2703,1.6577,238.2074001
111,2704,1.8348,239.8651
112,2705,2.0346,241.6999
113,2706,1.9805,243.7345001
114,2707,1.8814,245.715
115,2708,2.0413,247.5964
116,2709,1.64,249.6377001
117,2710,1.8237,251.2777001
118,2711,2.1274,253.1014
119,2712,1.9008,255.2287999
120,2713,1.8278,257.1295999
121,2714,1.8007,258.9574
122,2715,1.6115,260.7580999
123,2716,2.3392,262.3695999
124,2717,1.8495,264.7088
125,2718,2.8176,266.5582999
126,2719,1.836,269.3758999
127,2720,2.8885,271.2118999
128,2721,2.2703,274.1003999
129,2722,1.8792,276.3706998
130,2723,1.5736,278.2498997
131,2724,2.263,279.8234998
132,2725,1.7622,282.0864998
133,2726,1.7968,283.8486998
134,2727,1.851,285.6454998
135,2728,2.0165,287.4964998
136,2729,1.8684,289.5129998
137,2730,1.7786,291.3813998
138,2731,2.2277,293.1599997
139,2732,1.8285,295.3876997
140,2733,2.159,297.2161998
141,2734,1.6766,299.3751997
142,2735,1.7434,301.0517997
143,2736,1.8101,302.7951996
144,2737,1.8717,304.6052996
145,2738,1.7396,306.4769996
146,2739,1.7919,308.2165996
147,2740,1.8397,310.0084996
148,2741,1.8812,311.8481996
149,2742,2.2694,313.7293996
150,2743,1.8356,315.9987994
151,2744,1.9572,317.8343995
152,2745,1.7826,319.7915995
153,2746,1.8194,321.5741996
154,2747,1.8943,323.3935995
155,2748,1.5813,325.2878995
156,2749,1.8277,326.8691995
157,2750,1.7482,328.6968995
158,2751,2.1842,330.4450995
159,2752,1.8411,332.6292995
160,2753,2.2624,334.4703995
161,2754,1.9452,336.7327994
162,2755,6.7902,338.6779994
163,2756,4.57,345.4681991
164,2757,3.2438,350.0381993
165,2758,3.0633,353.2819992
166,2759,2.917,356.3452991
167,2760,1.8026,359.2622992
168,2761,2.9639,361.0648992
169,2762,2.4059,364.0287993
170,2763,1.7863,366.4346993
171,2764,1.8896,368.2209992
172,2765,1.8623,370.1105993
173,2766,1.733,371.9728993
174,2767,2.0597,373.7058994
175,2768,1.9609,375.7655994
176,2769,1.6663,377.7264993
177,2770,1.8602,379.3927993
178,2771,2.1194,381.2529993
179,2772,2.1654,383.3723993
180,2773,1.9672,385.5377994
181,2774,1.8312,387.5049994
182,2775,1.9048,389.3361994
183,2776,1.7973,391.2409993
184,2777,2.1259,393.0382993
185,2778,1.6808,395.1641994
186,2779,2.4504,396.8449993
187,2780,1.708,399.2953992
188,2781,1.9153,401.0033991
189,2782,1.7525,402.9186991
190,2783,1.7275,404.6711991
191,2784,1.8237,406.398699
192,2785,1.7755,408.222399
193,2786,1.6778,409.9978989
194,2787,1.7919,411.6756989
195,2788,2.5907,413.4675989
196,2789,1.9191,416.0582988
197,2790,1.6769,417.9773989
198,2791,1.9096,419.6542989
199,2792,1.8088,421.5638989
200,2793,1.7708,423.3726989
201,2794,1.6868,425.1434989
202,2795,1.9501,426.8302989
203,2796,1.8954,428.7803988
204,2797,2.0972,430.6757989
205,2798,2.2887,432.7729988
206,2799,2.8569,435.0616989
207,2800,2.1408,437.9185989
208,2801,1.8017,440.0593989
209,2802,1.8862,441.8610989
210,2803,1.8271,443.7472988
211,2804,1.8123,445.5743989
212,2805,2.3886,447.3866988
213,2806,1.7036,449.775299
214,2807,1.8086,451.478899
215,2808,1.8819,453.287499
216,2809,1.6546,455.1693989
217,2810,1.8046,456.8239989
218,2811,1.8437,458.6285989
219,2812,1.7616,460.472299
220,2813,1.6759,462.233899
221,2814,2.1628,463.909799
222,2815,1.9346,466.0725991
223,2816,1.7759,468.007199
224,2817,1.7445,469.7830991
225,2818,1.8678,471.5275991
226,2819,1.964,473.3953991
227,2820,1.7625,475.3593991
228,2821,1.6657,477.1218991
229,2822,1.7907,478.7875991
230,2823,2.1275,480.578299
231,2824,1.8518,482.7057991
232,2825,2.7253,484.5575991
233,2826,1.7894,487.2828991
234,2827,2.798,489.0722991
235,2828,1.8647,491.8702992
236,2829,2.0706,493.7349992
237,2830,1.8104,495.8055992
238,2831,2.1324,497.6159992
239,2832,1.8186,499.7483993
240,2833,1.772,501.5669992
241,2834,1.9271,503.3389992
242,2835,1.646,505.2660991
243,2836,1.753,506.9120991
244,2837,2.2615,508.6650991
245,2838,2.2681,510.926599
246,2839,2.4213,513.194699
247,2840,1.7396,515.615999
248,2841,1.7572,517.3555989
249,2842,1.756,519.1127989
250,2843,1.8952,520.868799
251,2844,1.9215,522.763999
252,2845,1.7705,524.685499
253,2846,1.7535,526.4559989
254,2847,1.6936,528.2094989
255,2848,1.8565,529.9030988
256,2849,1.9503,531.7595989
257,2850,2.1149,533.7098988
258,2851,1.6233,535.8247989
259,2852,1.8727,537.4480989
260,2853,1.857,539.3207989
261,2854,5.5129,541.1777989
262,2855,5.3935,546.6906987
263,2856,16.9101,552.0841986
264,2857,3.261,568.9942976
265,2858,6.0024,572.2552975
266,2859,2.0804,578.2576975
267,2860,4.7617,580.3380975
268,2861,3.0406,585.0997976
269,2862,4.2387,588.1403977
270,2863,1.8589,592.3790976
271,2864,2.8764,594.2379975
272,2865,2.1499,597.1143975
273,2866,2.9764,599.2642975
274,2867,1.7469,602.2406974
275,2868,1.7912,603.9875973
276,2869,1.7237,605.7787974
277,2870,1.8339,607.5024974
278,2871,1.7286,609.3363974
279,2872,1.8057,611.0649974
280,2873,2.1599,612.8706974
281,2874,2.1791,615.0305973
