Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,1900,2.2506,0
1,1901,6.4931,2.2506001
2,1902,1.9838,8.743700266
3,1903,1.8815,10.72750032
4,1904,1.8715,12.60900033
5,1905,1.9421,14.48050034
6,1906,1.7921,16.42260039
7,1907,1.9816,18.21470034
8,1908,2.0424,20.19630039
9,1909,7.0553,22.23870027
10,1910,2.6872,29.29400003
11,1911,1.7131,31.9812001
12,1912,1.8049,33.69430006
13,1913,1.7286,35.49920011
14,1914,1.873,37.22780013
15,1915,1.8502,39.10080016
16,1916,2.4166,40.95100009
17,1917,6.8984,43.36760008
18,1918,1.7787,50.26599991
19,1919,1.8052,52.04469991
20,1920,1.8761,53.84989989
21,1921,1.8998,55.72599983
22,1922,2.0056,57.62579978
23,1923,2.2247,59.63139975
24,1924,6.4356,61.85609972
25,1925,1.6065,68.29169953
26,1926,1.8328,69.89819956
27,1927,2.0238,71.73099959
28,1928,1.7614,73.75479949
29,1929,1.8996,75.51619947
30,1930,1.7775,77.4157995
31,1931,1.8605,79.19329953
32,1932,2.0518,81.05379951
33,1933,6.5404,83.10559952
34,1934,3.5799,89.64599955
35,1935,1.9145,93.22589958
36,1936,1.9253,95.14039958
37,1937,1.6336,97.06569958
38,1938,1.7124,98.69929957
39,1939,2.0275,100.4116995
40,1940,6.4551,102.4391994
41,1941,3.1067,108.8942995
42,1942,1.8009,112.0009995
43,1943,1.8354,113.8018994
44,1944,1.7261,115.6372994
45,1945,1.7637,117.3633994
46,1946,1.7345,119.1270994
47,1947,2.037,120.8615994
48,1948,7.0224,122.8985994
49,1949,3.0701,129.9209993
50,1950,1.7867,132.9910994
51,1951,2.1825,134.7777994
52,1952,1.9882,136.9602993
53,1953,1.9412,138.9484992
54,1954,2.4514,140.8896992
55,1955,7.2309,143.3410993
56,1956,2.6493,150.5719991
57,1957,2.0995,153.2212992
58,1958,2.1946,155.3207991
59,1959,2.022,157.5153992
60,1960,2.7249,159.5373993
61,1961,6.7801,162.2622993
62,1962,3.1271,169.0423992
63,1963,2.1571,172.1694992
64,1964,1.8845,174.3265991
65,1965,1.9237,176.2110991
66,1966,1.8558,178.1347991
67,1967,2.2232,179.9905992
68,1968,6.2862,182.2137992
69,1969,1.6989,188.4999993
70,1970,1.7672,190.1988993
71,1971,1.8938,191.9660993
72,1972,1.7178,193.8598993
73,1973,1.7361,195.5776993
74,1974,1.8171,197.3137993
75,1975,1.8008,199.1308993
76,1976,2.0303,200.9316993
77,1977,6.4794,202.9619992
78,1978,2.528,209.4413993
79,1979,1.8291,211.9693992
80,1980,1.7017,213.7984992
81,1981,1.7153,215.5001992
82,1982,1.7982,217.2154992
83,1983,1.7661,219.0136992
84,1984,2.1198,220.7797992
85,1985,6.9881,222.8995993
86,1986,1.9044,229.8876994
87,1987,1.8302,231.7920994
88,1988,1.7118,233.6222993
89,1989,1.6342,235.3340993
90,1990,1.8845,236.9682993
91,1991,1.7971,238.8527993
92,1992,2.0372,240.6498992
93,1993,7.3313,242.6870992
94,1994,1.9489,250.018399
95,1995,1.863,251.967299
96,1996,1.8563,253.830299
97,1997,1.8616,255.686599
98,1998,1.7707,257.5481991
99,1999,2.0794,259.318899
100,2000,6.4266,261.3982991
101,2001,1.9528,267.8248991
102,2002,1.8257,269.7776991
103,2003,1.9001,271.6033992
104,2004,1.8649,273.5034992
105,2005,1.9789,275.3683991
