Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,1797,4.3019,0
1,1798,4.0856,4.30189991
2,1799,3.9741,8.387499809
3,1800,4.2132,12.36159968
4,1801,4.1853,16.57479978
5,1802,3.8211,20.76009965
6,1803,3.3324,24.58119965
7,1804,3.6828,27.91359973
8,1805,3.5738,31.59639978
9,1806,3.8658,35.17019987
10,1807,3.6576,39.03599977
11,1808,4.3041,42.6935997
12,1809,3.7589,46.99769974
13,1810,3.7374,50.75659966
14,1811,3.8572,54.49399972
15,1812,3.7047,58.35119963
16,1813,3.837,62.05589962
17,1814,4.0148,65.89289951
18,1815,3.7651,69.90769958
19,1816,4.0369,73.67279959
20,1817,3.7403,77.70969963
21,1818,3.5585,81.44999957
22,1819,3.5324,85.00849962
23,1820,3.5291,88.54089952
24,1821,3.5909,92.06999946
25,1822,4.6156,95.6608994
26,1823,4.081,100.2764995
27,1824,3.6816,104.3574994
28,1825,3.4928,108.0390995
29,1826,3.8552,111.5318995
30,1827,3.9488,115.3870995
31,1828,3.5997,119.3358996
32,1829,3.4935,122.9355996
33,1830,3.6042,126.4290996
34,1831,3.9651,130.0332994
35,1832,4.1839,133.9983995
36,1833,3.9187,138.1822994
37,1834,3.6401,142.1009994
38,1835,4.4323,145.7410994
39,1836,3.861,150.1733994
40,1837,4.0158,154.0343995
41,1838,3.5722,158.0501995
42,1839,3.3653,161.6223996
43,1840,3.4833,164.9876995
44,1841,3.6686,168.4709995
45,1842,3.5204,172.1395996
46,1843,3.838,175.6599996
47,1844,3.7946,179.4979997
48,1845,3.7388,183.2925997
49,1846,3.8685,187.0313997
50,1847,3.9741,190.8998997
51,1848,4.2573,194.8739996
52,1849,3.8429,199.1312995
53,1850,3.8683,202.9741995
54,1851,3.82,206.8424995
55,1852,3.8321,210.6624994
56,1853,4.0965,214.4945993
57,1854,4.1977,218.5910993
58,1855,4.2189,222.7887993
59,1856,4.1657,227.0076995
60,1857,3.9287,231.1733994
61,1858,4.0426,235.1020994
62,1859,3.6842,239.1446996
63,1860,3.8914,242.8288996
64,1861,4.1052,246.7202997
65,1862,3.8478,250.8254995
66,1863,4.081,254.6732996
67,1864,3.8248,258.7542994
68,1865,3.6914,262.5790994
69,1866,3.8226,266.2704995
70,1867,3.2843,270.0930994
71,1868,3.6625,273.3773994
72,1869,3.6904,277.0398993
73,1870,3.6742,280.7302992
74,1871,3.554,284.4044993
75,1872,3.5796,287.9584992
76,1873,3.7281,291.5380993
77,1874,4.9354,295.2661994
78,1875,4.2686,300.2015994
79,1876,3.5452,304.4701993
80,1877,3.4006,308.0153995
81,1878,3.7193,311.4159994
82,1879,3.7448,315.1352994
83,1880,3.6599,318.8800995
84,1881,3.3539,322.5399995
85,1882,3.569,325.8938994
86,1883,4.0437,329.4628994
87,1884,3.7673,333.5065997
88,1885,4.01,337.2738996
89,1886,3.764,341.2838993
90,1887,3.5149,345.0478992
91,1888,3.543,348.5627992
92,1889,3.4796,352.1057992
93,1890,3.7959,355.5853992
94,1891,3.9469,359.3812993
95,1892,3.7853,363.3281991
96,1893,3.41,367.1134992
97,1894,3.4327,370.5234993
98,1895,3.6567,373.9561992
99,1896,3.4668,377.6128991
100,1897,3.5738,381.079699
101,1898,7.1576,384.6534991
102,1899,6.0581,391.8110991
103,1900,5.164,397.8691988
104,1901,4.1131,403.0331988
105,1902,3.752,407.1462989
106,1903,3.659,410.898299
107,1904,3.6045,414.5572989
108,1905,3.8804,418.161799
109,1906,3.8391,422.0421989
110,1907,3.6136,425.8812988
111,1908,4.7868,429.4948988
112,1909,4.3451,434.2816987
113,1910,3.7188,438.6267986
114,1911,3.6869,442.3455987
115,1912,4.5557,446.0324986
116,1913,4.0688,450.5881984
117,1914,3.9601,454.6569984
118,1915,3.6167,458.6170983
119,1916,3.7584,462.2337983
120,1917,3.6138,465.9921982
121,1918,3.8817,469.6059983
122,1919,4.296,473.4876983
123,1920,4.917,477.7836983
124,1921,4.787,482.7006981
125,1922,4.6779,487.4876983
126,1923,4.143,492.1655982
127,1924,4.3484,496.3085983
128,1925,4.0087,500.6569984
129,1926,4.1232,504.6656983
130,1927,4.4131,508.7888982
131,1928,5.4447,513.201998
132,1929,5.1483,518.6466978
133,1930,4.5205,523.7949979
134,1931,3.9307,528.3154981
135,1932,3.7665,532.2461982
136,1933,3.7353,536.0126982
137,1934,3.702,539.7479982
138,1935,3.441,543.4499981
139,1936,3.6738,546.8909981
140,1937,3.5502,550.5647981
141,1938,3.6554,554.1149981
142,1939,3.7031,557.7703981
143,1940,3.5007,561.4734981
144,1941,3.6091,564.9741981
145,1942,3.4115,568.5832982
146,1943,3.6659,571.9947982
147,1944,3.7076,575.6606982
148,1945,4.6025,579.3682981
149,1946,4.003,583.970798
150,1947,3.4663,587.9737978
151,1948,3.6576,591.4400978
152,1949,5.1512,595.0976977
153,1950,4.3879,600.2488976
154,1951,3.6737,604.6367974
155,1952,3.7733,608.3104975
156,1953,3.7568,612.0837975
157,1954,3.9437,615.8405974
158,1955,3.8666,619.7842975
159,1956,3.5332,623.6508975
160,1957,3.6807,627.1840975
161,1958,3.5221,630.8647976
162,1959,3.7767,634.3868976
163,1960,3.7961,638.1635976
164,1961,3.5472,641.9596975
165,1962,3.6319,645.5068974
166,1963,3.5267,649.1387975
167,1964,3.6516,652.6654975
168,1965,3.7798,656.3170974
169,1966,3.532,660.0968974
170,1967,3.3987,663.6288974
171,1968,3.6778,667.0275974
172,1969,3.7288,670.7053974
173,1970,6.4126,674.4341974
174,1971,5.0092,680.8467975
175,1972,4.1245,685.8559976
176,1973,3.7425,689.9804974
177,1974,4.0284,693.7229974
178,1975,3.7523,697.7513974
179,1976,3.6788,701.5036974
180,1977,3.9123,705.1824975
181,1978,3.6699,709.0947974
182,1979,3.9958,712.7646973
183,1980,3.9803,716.7604973
184,1981,3.7645,720.7407973
185,1982,3.5992,724.5052972
186,1983,3.5878,728.1044972
187,1984,3.9517,731.6922972
188,1985,4.169,735.6439972
189,1986,4.0386,739.8129973
190,1987,3.8341,743.8515973
191,1988,3.9762,747.6856973
192,1989,3.5613,751.6618974
193,1990,3.9681,755.2231975
194,1991,3.8008,759.1912975
195,1992,3.4527,762.9920976
196,1993,3.5889,766.4447975
197,1994,3.6845,770.0336976
198,1995,4.0328,773.7181976
199,1996,3.812,777.7509978
200,1997,3.6355,781.5629978
201,1998,3.8038,785.1984978
202,1999,3.4428,789.0022979
203,2000,3.84,792.4450979
204,2001,4.3261,796.2850978
205,2002,3.8745,800.6111977
206,2003,8.5024,804.4856977
207,2004,19.8708,812.9880981
208,2005,6.9616,832.8588982
209,2006,5.5129,839.820498
210,2007,4.7725,845.3333979
211,2008,4.1767,850.1058979
212,2009,4.2459,854.282598
213,2010,3.705,858.5284982
214,2011,3.948,862.2334981
215,2012,3.6379,866.1814981
216,2013,3.8081,869.8193979
217,2014,3.6786,873.6274979
218,2015,4.1229,877.306098
219,2016,4.3267,881.428998
220,2017,7.6998,885.7556982
221,2018,5.6046,893.4554982
222,2019,4.6203,899.0600982
223,2020,4.0244,903.680398
224,2021,4.2539,907.7047977
225,2022,3.9906,911.9586978
226,2023,4.2664,915.9492979
227,2024,3.8264,920.2156978
228,2025,3.7156,924.0420978
229,2026,4.0747,927.7576978
230,2027,3.8379,931.8323977
231,2028,3.8905,935.6702976
232,2029,3.7852,939.5607977
233,2030,3.8868,943.3459976
234,2031,3.8448,947.2327976
235,2032,3.6583,951.0775976
236,2033,4.1922,954.7358975
237,2034,3.7666,958.9280977
238,2035,3.7619,962.6946976
239,2036,3.5129,966.4565976
240,2037,3.656,969.9694974
241,2038,3.3904,973.6254973
242,2039,3.8744,977.0158973
243,2040,3.7631,980.8902972
244,2041,3.5165,984.6533971
245,2042,3.5073,988.1698971
246,2043,3.4409,991.677197
247,2044,3.8051,995.1180971
248,2045,3.7828,998.923197
249,2046,3.833,1002.705997
250,2047,3.5157,1006.538997
251,2048,3.5203,1010.054697
252,2049,4.0359,1013.574997
253,2050,3.8359,1017.610897
254,2051,3.7541,1021.446797
255,2052,3.833,1025.200897
256,2053,3.8374,1029.033897
257,2054,3.816,1032.871297
258,2055,3.8986,1036.687297
259,2056,3.581,1040.585897
260,2057,3.7417,1044.166897
261,2058,3.9442,1047.908597
262,2059,3.8358,1051.852797
263,2060,3.8783,1055.688597
264,2061,3.8054,1059.566897
265,2062,3.9122,1063.372297
266,2063,3.6299,1067.284497
267,2064,3.5266,1070.914397
268,2065,3.9509,1074.440997
269,2066,3.5748,1078.391897
270,2067,3.4308,1081.966697
271,2068,3.4361,1085.397497
272,2069,3.4902,1088.833597
273,2070,3.6947,1092.323797
274,2071,3.8619,1096.018497
275,2072,3.7516,1099.880397
276,2073,3.5442,1103.631997
277,2074,9.0936,1107.176197
278,2075,7.265,1116.269797
279,2076,5.2821,1123.534797
280,2077,4.3029,1128.816897
281,2078,3.7114,1133.119797
282,2079,4.1158,1136.831197
283,2080,4.2716,1140.946997
284,2081,4.2193,1145.218597
285,2082,3.7208,1149.437897
286,2083,3.4841,1153.158697
287,2084,3.9091,1156.642797
288,2085,3.8704,1160.551897
289,2086,3.5422,1164.422297
290,2087,3.6028,1167.964497
291,2088,3.4262,1171.567297
292,2089,3.7419,1174.993497
293,2090,3.7794,1178.735397
294,2091,3.606,1182.514796
295,2092,3.5894,1186.120796
296,2093,3.7199,1189.710196
297,2094,3.4774,1193.430096
