Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,2192,1.9447,0
1,2193,5.9523,1.944700003
2,2194,1.9345,7.897000074
3,2195,1.8718,9.831500053
4,2196,5.8315,11.7033
5,2197,1.8746,17.53480005
6,2198,1.8555,19.40940011
7,2199,5.6133,21.26490009
8,2200,1.8336,26.87819993
9,2201,1.9514,28.71179998
10,2202,1.9429,30.66320002
11,2203,5.9416,32.60609996
12,2204,1.8578,38.54769981
13,2205,2.5127,40.40549982
14,2206,5.6547,42.9181999
15,2207,1.8338,48.5728997
16,2208,1.7952,50.40669966
17,2209,5.9043,52.20189965
18,2210,1.9241,58.10619986
19,2211,1.9209,60.0302999
20,2212,5.6042,61.95119989
21,2213,1.9045,67.55539978
22,2214,1.7962,69.45989978
23,2215,5.9459,71.25609982
24,2216,2.3647,77.20199978
25,2217,1.8709,79.56669986
26,2218,5.6764,81.4375999
27,2219,1.7591,87.11400008
28,2220,3.3556,88.87310004
29,2221,6.1482,92.22869992
30,2222,1.8044,98.37689996
31,2223,1.8343,100.1812999
32,2224,6.1944,102.0156
33,2225,2.1069,108.2099998
34,2226,1.8768,110.3168998
35,2227,5.8688,112.1936997
36,2228,1.8619,118.0624999
37,2229,1.9169,119.9243999
38,2230,6.5252,121.8412999
39,2231,2.0553,128.3664998
40,2232,1.8998,130.4217998
41,2233,5.9054,132.3215997
42,2234,2.1127,138.2269995
43,2235,3.1079,140.3396995
44,2236,5.6131,143.4475994
45,2237,1.7486,149.0606995
46,2238,5.7995,150.8092995
47,2239,3.4028,156.6087995
48,2240,1.8832,160.0115995
49,2241,5.7767,161.8947996
50,2242,1.7478,167.6714996
51,2243,1.9082,169.4192996
52,2244,6.1848,171.3274996
53,2245,1.8631,177.5122998
54,2246,1.9843,179.3753998
55,2247,5.8075,181.3596998
56,2248,1.8413,187.1671997
57,2249,4.466,189.0084997
58,2250,5.736,193.4744998
59,2251,1.905,199.2104999
60,2252,6.1958,201.1154999
61,2253,2.6753,207.3112997
62,2254,1.9576,209.9865996
63,2255,6.0367,211.9441996
64,2256,1.7,217.9808993
65,2257,1.922,219.6808994
66,2258,5.8359,221.6028994
