Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
41,42,1144.568,75366.81032
42,43,1072.183,76511.3788
43,44,1059.485,77583.56215
44,45,1085.553,78643.0475
45,46,1065.613,79728.60036
46,47,1074.385,80794.21327
47,48,1070.927,81868.59865
48,49,1075.302,82939.52589
49,50,1053.314,84014.82765
50,51,1075.461,85068.14198
51,52,1043.583,86143.6028
52,53,1068.736,87187.18605
53,54,1040.63,88255.92226
54,55,1059.496,89296.55226
55,56,1048.467,90356.0486
56,57,1073.204,91404.51552
57,58,1048.521,92477.71999
58,59,1074.595,93526.24049
59,60,1071.23,94600.83595
60,61,1091.271,95672.0663
61,62,1080.692,96763.3373
62,63,1079.365,97844.02943
63,64,1053.553,98923.39418
64,65,1076.694,99976.94691
65,66,1045.078,101053.6408
66,67,1068.366,102098.719
67,68,1065.887,103167.0855
68,69,1073.852,104232.9723
69,70,1050.739,105306.8244
70,71,1080.344,106357.5631
71,72,1057.056,107437.9068
72,73,1077.544,108494.9629
73,74,1074.939,109572.507
74,75,1081.681,110647.4456
75,76,1061.784,111729.127
76,77,1096.263,112790.9111
77,78,1048.529,113887.1745
78,79,1071.266,114935.7034
79,80,1060.908,116006.969
80,81,1071.898,117067.8773
81,82,1057.303,118139.7757
82,83,1077.783,119197.0791
83,84,1048.973,120274.8621
84,85,1079.454,121323.8352
85,86,1066.798,122403.2897
86,87,1091.135,123470.0873
87,88,1083.562,124561.2223
88,89,1075.264,125644.7838
89,90,1073.109,126720.0476
90,91,1087.771,127793.1568
91,92,1054.29,128880.9279
92,93,1072.41,129935.2179
93,94,1065.34,131007.6277
94,95,1070.07,132072.9678
95,96,1051.883,133143.038
96,97,1083.1,134194.9207
97,98,1053.963,135278.0205
98,99,1081.37,136331.9839
99,100,1080.47,137413.3538
100,101,1082.657,138493.8239
101,102,1068.115,139576.481
102,103,1070.762,140644.5962
103,104,1050.076,141715.3587
104,105,1078.925,142765.4342
105,106,1062.869,143844.359
106,107,1074.266,144907.2277
107,108,1081.328,145981.4942
108,109,1088.652,147062.8219
109,110,1094.438,148151.474
110,111,1081.909,149245.9124
111,112,1070.187,150327.8214
112,113,1178.078,151398.0084
